issuekey,topic_3,topic_4,topic_6,topic_11,topic_16,topic_18,topic_12,topic_19,topic_15,topic_9,topic_14,topic_10,topic_0,topic_17,topic_13,topic_1,topic_2,topic_5,topic_7,topic_8
DM-9,0.17525355517864227,0.5068753361701965,0.010642440058290958,0.010100877843797207,0.010015527717769146,0.17296454310417175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM-71,0.011095256544649601,0.010498099029064178,0.012759348377585411,0.012110160663723946,0.21107284724712372,0.0,0.010207019746303558,0.011319291777908802,0.0,0.010513536632061005,0.010652340017259121,0.011525364592671394,0.0,0.0,0.0,0.6072298288345337,0.0,0.0,0.0,0.0
DM-68,0.0,0.42361313104629517,0.01064140535891056,0.010099989362061024,0.010014629922807217,0.0,0.0,0.2129368931055069,0.0,0.0,0.0,0.22139649093151093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM-52,0.33072033524513245,0.24223624169826508,0.012759583070874214,0.0121103934943676,0.2569725811481476,0.0,0.01020720787346363,0.011319499462842941,0.0,0.010513730347156525,0.010652536526322365,0.011525576934218407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM-78,0.0,0.0,0.01064220815896988,0.010100740008056164,0.010015384294092655,0.8370851278305054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM-148,0.011098066344857216,0.01050076074898243,0.01276258286088705,0.012113231234252453,0.012010869570076466,0.0,0.010209607891738415,0.011322163976728916,0.0,0.40879198908805847,0.010655040852725506,0.011528285220265388,0.0,0.0,0.0,0.0,0.0,0.40636715292930603,0.0,0.0
DM-98,0.011095363646745682,0.010498203337192535,0.012759475037455559,0.012110281735658646,0.012007944285869598,0.0,0.010207121260464191,0.01131940446794033,0.0,0.36275631189346313,0.010652446188032627,0.011525479145348072,0.0,0.0,0.20719680190086365,0.0,0.0,0.0,0.25464457273483276,0.0
DM-228,0.011095346882939339,0.010498188436031342,0.012759516946971416,0.012110263109207153,0.01200792659074068,0.0,0.010207106359302998,0.40950021147727966,0.0,0.010513625107705593,0.010652430355548859,0.011525461450219154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40657275915145874
DM-224,0.018435761332511902,0.01744353584945202,0.35198867321014404,0.020122122019529343,0.019952083006501198,0.013864344917237759,0.016959883272647858,0.018808022141456604,0.015972837805747986,0.017469188198447227,0.017699822783470154,0.01915043033659458,0.015362960286438465,0.016178684309124947,0.013488811440765858,0.016555560752749443,0.015846315771341324,0.34469112753868103,0.01601231098175049,0.013997534289956093
DM-213,0.013853982090950012,0.013108351267874241,0.015931839123368263,0.015121237374842167,0.0149934571236372,0.010418684221804142,0.012744898907840252,0.5113063454627991,0.012003160081803799,0.013127627782523632,0.013300943188369274,0.01439103577286005,0.011544853448867798,0.012157848104834557,0.010136481374502182,0.012441061437129974,0.011908083222806454,0.01044035516679287,0.012032823637127876,0.2590368688106537
